Id_lekarze,Id_specjalizacje,Id_dyzury,Imie,Nazwisko,Data_zatrudnienia,Pensja
168,268,896,Aurie,Heppner,2011-11-21,6639
169,70,637,Kristal,Axelbee,2007-01-23,4216
170,95,663,Garv,Barsam,2018-10-07,6100
171,807,412,Valeria,Doughartie,2012-05-10,5944
172,45,1,Alberta,Cattonnet,2012-07-08,4708
173,299,674,Becca,Trevers,2017-08-21,5916
174,305,680,Ora,Thomsen,2002-02-18,6120
175,19,171,Sianna,Vaughten,2002-12-17,4760
176,6,562,Torey,O' Kelleher,2019-03-22,4067
177,284,676,Janeva,Reggler,2012-12-29,5162
178,229,701,Xerxes,Spelman,2010-08-05,7817
179,930,909,Amara,Jeannot,2017-08-10,7078
180,929,94,Benjie,Breewood,2003-06-13,7167
181,887,212,Duffy,Haggerstone,2001-03-31,7634
182,375,306,Burke,Selby,2009-04-05,3691
183,356,548,Ruggiero,Obbard,2012-01-28,7477
184,98,129,Kriste,Demonge,2022-10-09,4601
185,333,293,Darice,Gland,2000-12-11,4158
186,163,162,Illa,Shuttell,2012-07-02,5831
187,722,442,Mano,Coultous,2001-01-12,4506
188,160,689,Antonietta,De Meis,2020-02-20,5099
189,732,601,Sybille,Sybbe,2003-08-27,7440
190,197,426,Sophi,Bazely,2022-06-02,5496
191,390,834,Titos,Feltoe,2018-11-26,7877
192,726,755,Jacquelynn,Elcombe,2020-08-24,5842
193,749,93,Audrye,Arnau,2012-05-17,7737
194,428,477,Artemus,Dibble,2008-09-21,7849
195,566,36,Mimi,Clines,2011-08-05,6183
196,252,417,Derek,Dalloway,2008-04-15,6617
197,491,682,Ximenes,Vidineev,2005-01-10,6575
198,773,128,Jared,Cadigan,2011-10-07,7652
199,963,200,Adelind,Kleinschmidt,2014-07-05,5022
200,457,457,Rivalee,O'Henery,2014-11-04,6505
201,305,877,Dante,Edgeworth,2010-03-19,7269
202,619,113,Alvin,Stook,2008-09-26,4002
203,564,368,Saunders,Kenafaque,2019-01-03,5154
204,76,60,Bill,Jupe,2019-07-09,4721
205,229,294,Any,Ambresin,2000-11-07,5945
206,668,612,Lesya,Challener,2015-11-18,4077
207,117,423,Bria,Lenaghen,2004-01-25,4743
208,540,640,Audry,Wilkins,2015-11-28,5267
209,679,960,Anastasia,Audus,2004-06-03,7237
210,102,857,Hatty,Gratrix,2010-04-11,5651
211,370,984,Flemming,McMonnies,2001-09-30,5877
212,851,983,Silas,Hitter,2005-12-15,6352
213,284,659,Axel,Kirvell,2014-04-11,4329
214,403,375,Arleyne,Mannock,2011-09-22,7598
215,905,439,Kali,Boydon,2005-11-22,3736
216,613,763,Gilberto,Mussetti,2015-04-20,6406
217,81,206,Nellie,Vorley,2012-11-23,5184
218,434,955,Maxie,Bemwell,2003-10-01,7273
219,629,849,Morrie,Cobb,2003-05-29,7073
220,408,452,Dennie,Silveston,2017-02-14,4658
221,801,681,Kamilah,Clinton,2020-08-12,3587
222,793,563,Antony,Weafer,2014-12-09,7998
223,546,703,Letizia,Antonacci,2012-02-19,5620
224,859,803,Britta,Cruden,2007-01-13,6232
225,758,464,Sarge,Ivkovic,2005-04-25,7481
226,638,708,Cristie,Sheaber,2013-01-29,5946
227,730,93,Francois,Dysert,2005-01-19,5917
228,782,671,Odelinda,Cormode,2006-01-28,7351
229,184,984,Laney,Ygou,2000-11-10,5698
230,66,728,Vitoria,Whitney,2011-08-09,7979
231,182,540,Amelie,Vittet,2018-09-21,7643
232,59,262,Meade,Rudolfer,2006-12-10,4738
233,817,526,Nye,Piotrkowski,2016-08-16,5454
234,47,178,Carole,Porch,2002-01-31,5403
235,748,667,Bevon,Bernardotti,2002-01-23,6936
236,622,80,Donal,Oxx,2005-04-20,7810
237,190,273,Clayborn,Bartens,2002-03-14,7773
238,803,833,Curt,Cunniffe,2017-07-08,3729
239,682,749,Madella,Neles,2015-02-05,5426
240,960,401,Bathsheba,Bramich,2009-02-07,6751
241,184,826,Mead,Rantoull,2004-09-16,5031
242,775,546,Archambault,Horning,2011-03-21,4346
243,580,107,Emery,Deener,2015-02-28,3793
244,498,340,Victor,Maslen,2006-05-06,7226
245,979,897,Ynes,Leipoldt,2013-11-29,4964
246,826,607,Valentin,Roz,2020-07-17,4636
247,174,270,Felicle,Binham,2009-11-05,7268
248,181,318,Langsdon,Stickins,2003-09-08,5444
249,237,262,Clifford,Creffield,2002-05-12,5017
250,46,68,Brocky,Bernaciak,2012-02-07,5234
251,485,657,Devan,McGrill,2013-08-31,5710
252,748,932,Ania,Wybrow,2020-05-12,7944
253,273,162,Aubrie,Kent,2014-08-18,5527
254,598,283,Neile,Pimme,2000-01-25,5252
255,345,237,Merna,Quantrell,2015-05-16,6184
256,678,642,Aileen,Bourthoumieux,2010-08-29,7876
257,712,650,Hailey,Hansley,2008-09-28,4033
258,617,200,Chas,Berfoot,2011-08-29,6730
259,235,452,Maryjo,Butland,2002-04-20,6364
260,726,335,Cheston,Stallworthy,2017-09-11,6892
261,906,739,Lowrance,Larraway,2008-10-11,6231
262,89,739,Larine,Taynton,2014-11-22,3907
263,122,991,Theodoric,Ternott,2003-04-27,4730
264,15,950,Pascal,Twiname,2004-06-19,6048
265,991,209,Arnold,Ree,2017-08-18,5888
266,681,821,Lu,Androck,2006-01-16,5355
267,654,549,Mathilda,Fernier,2007-10-21,7675
268,262,996,Clem,Ribchester,2007-02-08,5482
269,370,18,Yurik,Demetr,2013-05-16,7384
270,265,438,Blythe,Varah,2001-05-22,4766
271,237,394,Jens,Eginton,2009-12-08,7498
272,985,360,Madalena,Barnbrook,2006-02-15,7896
273,822,573,Lenci,MacCole,2000-08-21,4169
274,719,970,Stesha,Witz,2010-10-01,6951
275,395,578,Mella,Coy,2017-02-13,6573
276,886,615,Hank,Brusin,2020-05-03,5191
277,25,299,Gerrie,Gartrell,2017-02-12,4846
278,540,656,Davina,Meader,2016-10-31,5250
279,767,158,Kerrin,Quested,2022-04-27,4544
280,274,545,Jany,Pledge,2002-12-08,4504
281,682,552,Willey,Eadie,2002-10-24,5127
282,264,783,Kaitlynn,Heyfield,2001-01-13,3970
283,623,440,Derry,Forsyde,2022-03-04,6583
284,977,227,Leeanne,Gounod,2009-03-24,7956
285,450,600,Leonidas,Ollis,2015-06-17,4327
286,459,504,Dulce,Doherty,2001-03-03,4342
287,998,164,Aaron,Geggie,2008-04-01,7837
288,829,818,Emmie,Duding,2013-07-05,3528
289,660,920,Quinta,Habishaw,2010-08-09,6951
290,473,573,Deni,Corey,2019-03-01,7161
291,798,86,Rodrique,Marciskewski,2013-10-17,4259
292,458,371,Shaina,Causon,2022-12-07,4643
293,227,851,Susann,Derisly,2002-04-03,5662
294,636,245,Khalil,Bridgestock,2003-10-08,4783
295,771,444,Cybill,Wailes,2001-08-13,3943
296,413,492,Danni,Jolly,2009-07-12,3650
297,412,311,Nate,Springtorpe,2016-12-14,7410
298,877,765,Wolfy,Winspire,2008-12-10,4860
299,128,892,Linn,Bartomeu,2004-03-28,5190
300,800,573,Bryon,Stanfield,2020-02-24,4877
301,204,102,Jacklin,Coggeshall,2014-05-10,7231
302,932,686,Evangelia,Cobb,2022-12-31,5601
303,660,284,Rea,Larchiere,2002-11-22,7535
304,246,308,Nicola,Cabral,2021-09-28,7614
305,611,542,Elsey,Chittim,2009-08-26,7215
306,150,581,Sibeal,Heinlein,2002-11-21,6296
307,4,779,Horst,Vasquez,2018-04-19,6647
308,887,591,Josee,Casebourne,2000-11-07,4233
309,708,817,Madella,Houson,2012-04-15,6694
310,134,601,Dionisio,Puckey,2004-10-04,6258
311,575,771,Hastings,Hallowes,2013-01-16,5494
312,54,284,Prissie,Stag,2011-06-11,6933
313,220,897,Oralee,Mulvin,2013-04-04,5576
314,454,921,Dora,Scanterbury,2016-10-12,4697
315,233,418,Lorrie,Warner,2009-04-25,3844
316,240,22,Daune,Rodda,2020-10-21,7941
317,205,680,Odetta,Sharpus,2009-06-15,7372
318,4,138,Wash,Reason,2016-10-07,6839
319,782,879,Herman,Challin,2013-05-09,6817
320,271,612,Angeli,Brayfield,2010-01-28,3793
321,56,536,Rolando,Avramovic,2020-12-18,4059
322,695,397,Leanora,Colbran,2005-10-27,7917
323,175,38,Esma,Bodicam,2016-05-12,5785
324,255,443,Ringo,Dunbobin,2001-06-14,3582
325,708,57,Teena,Wetherburn,2018-03-20,4997
326,64,366,Sibbie,Obispo,2008-12-23,6059
327,564,431,Bryn,Robertson,2006-08-30,4787
328,916,286,Carlos,Dytham,2019-03-01,3770
329,271,365,Chlo,Burchett,2015-06-08,6305
330,264,426,Demetria,Gowar,2016-12-07,4912
331,789,675,Freddie,Alvy,2001-06-25,7867
332,607,654,Bryant,Lotze,2011-08-12,4806
333,228,743,Arnold,Albertson,2008-06-27,6408
334,336,817,Wendeline,Fipp,2008-06-16,6045
335,57,161,Arabelle,Meir,2022-01-30,5734
336,859,409,Case,Kunz,2004-11-04,7618
337,1,993,Lorene,Gavey,2021-02-08,3753
338,135,304,Carter,Finicj,2007-12-27,7650
339,129,269,Claribel,Wareing,2018-12-22,4174
340,654,477,Tiffanie,Bellamy,2002-10-31,5918
341,599,978,Fonzie,Darque,2021-09-22,7364
342,208,761,Clemence,Challens,2015-05-22,4988
343,354,112,Prent,Merchant,2020-09-28,4068
344,695,552,Northrop,Simukov,2015-09-03,7491
345,241,553,Julieta,Westnedge,2008-08-11,7726
346,286,239,Lulu,Jordin,2006-03-11,5941
347,98,452,Inga,Scrymgeour,2013-10-24,6550
348,672,228,Willamina,Costan,2018-04-26,4742
349,397,598,Baily,Yong,2006-09-05,7217
350,531,230,Janie,Longley,2018-11-17,6607
351,427,133,Kleon,Neate,2011-12-14,7006
352,659,426,Hayley,Crummay,2018-03-08,3776
353,734,486,Marni,Caulton,2020-02-19,4995
354,134,823,Ashia,McTerrelly,2022-12-09,5185
355,950,369,Hamlen,Antonoczyk,2021-10-31,4604
356,362,642,Birch,Bissett,2021-04-06,6264
357,387,679,Gerty,Haglington,2022-09-13,5888
358,424,697,Kiah,Penas,2007-05-31,7862
359,755,169,Nathaniel,Purveys,2003-05-09,4934
360,476,75,Cybill,Maypes,2019-07-31,3944
361,224,186,Ardine,Ikin,2010-09-27,5781
362,955,567,Remus,Pembry,2007-10-29,5748
363,380,346,Livvyy,Nelthorpe,2012-07-01,6967
364,261,854,Charmaine,Ettery,2022-09-22,6416
365,416,807,Tucker,Walkley,2003-01-03,6864
366,253,243,Juliane,Marzellano,2014-12-27,4964
367,53,724,Zulema,Skitral,2021-06-03,6990
368,942,345,Andrey,Ingree,2011-03-30,6740
369,244,534,Allayne,Stonier,2012-12-23,6538
370,380,185,Hanan,Dowell,2005-04-13,7733
371,224,677,Junie,Hallor,2021-04-18,4745
372,994,130,Guinevere,Sheldon,2016-02-03,7582
373,570,814,Dionisio,Speachley,2010-10-20,5606
374,227,625,Blayne,Tack,2002-06-01,5413
375,452,456,Birdie,Marcoolyn,2020-09-07,5582
376,316,834,Valaria,Hartshorne,2004-09-17,7899
377,1,650,Hunt,Tipens,2020-03-05,4387
378,293,127,Carolan,Hearty,2016-07-11,7065
379,501,280,Sissie,Tubby,2019-05-31,7792
380,421,308,Shellysheldon,Cattel,2006-09-25,4121
381,704,324,Halette,Checkley,2004-10-31,6039
382,2,822,Nerissa,Drury,2004-07-20,3874
383,350,764,Burgess,Attwill,2009-06-13,7116
384,857,376,Konstanze,Bowering,2012-06-30,3858
385,217,256,Bette,Reddoch,2003-05-16,7122
386,418,851,Carlyle,Schott,2002-06-08,3622
387,675,43,Aimee,Pilbury,2022-12-12,5213
388,503,786,Yardley,Piecha,2016-03-30,7235
389,577,671,Leonerd,Hazley,2022-05-08,7500
390,503,853,Conni,Ballin,2011-12-13,6706
391,792,495,Ermin,Ranstead,2014-04-09,7192
392,598,762,Fredek,Haddick,2000-06-13,7265
393,778,546,Josias,Gisburn,2011-08-30,5591
394,533,632,Dallas,Gaber,2008-12-14,5948
395,364,92,Johanna,Trulocke,2011-05-07,6204
396,552,682,Doralynne,Stickney,2008-01-13,7708
397,311,345,Lew,Refford,2013-01-18,6606
398,910,153,Bethina,Kissell,2022-06-11,5522
399,990,113,Lyndsie,Ruffli,2012-04-29,6577
400,874,975,Christine,Siddall,2000-07-24,5709
401,189,849,Francesco,Goozee,2011-12-06,7049
402,324,211,Gaspar,Verchambre,2015-08-06,4349
403,229,140,Noland,Hardware,2010-12-01,4217
404,333,799,Seymour,Woodrup,2006-01-01,4271
405,614,126,Tam,Button,2018-01-07,5180
406,38,204,Torr,Stickford,2016-06-15,4999
407,242,785,Jess,D'Acth,2017-05-07,7198
408,128,233,Dahlia,Evensden,2003-04-16,5992
409,352,560,Wright,Surby,2014-12-22,5995
410,848,432,Saunders,Kovelmann,2006-04-05,6180
411,391,313,Durand,Kingscote,2018-08-07,7184
412,570,604,Simonne,Gawthorpe,2012-07-01,4158
413,4,532,Adey,Gaylor,2015-09-19,4439
414,330,571,Chance,Wenham,2010-08-05,4276
415,407,661,Dena,Belcham,2000-01-14,5991
416,289,809,Case,Loxdale,2001-01-04,6837
417,854,708,Brittaney,Musk,2008-01-06,7898
418,629,150,Gertie,Gehricke,2000-09-18,3741
419,914,618,Frannie,Burridge,2002-11-01,4253
420,5,729,Rutherford,Ervin,2005-08-30,5386
421,523,932,Claudina,Cowndley,2005-04-08,4078
422,689,519,Erda,Phizakarley,2009-07-08,6516
423,734,12,Randi,Deackes,2014-10-30,7247
424,746,197,Nichols,Limb,2021-07-16,5530
425,646,885,Tommy,Fuchs,2012-11-16,5396
426,485,695,Marja,Gozard,2000-05-20,5914
427,647,822,Cassie,Thurborn,2009-07-21,5394
428,814,199,Tully,Fancett,2018-01-28,7541
429,712,202,Ives,Geertz,2018-02-23,5208
430,578,415,Winston,Mainds,2018-01-08,7449
431,987,41,Yoshiko,Bealing,2020-12-29,6641
432,72,647,Mehetabel,Signorelli,2012-07-15,7782
433,255,23,Avery,Iddiens,2022-06-29,7108
434,734,159,Meryl,Munday,2015-10-20,4341
435,34,689,Alyssa,Obal,2009-07-04,3850
436,847,258,Sheeree,Surridge,2021-09-30,4773
437,899,863,Jeno,Wigfield,2003-03-03,4099
438,10,304,Christal,Udell,2015-11-15,6993
439,845,642,Gradeigh,Warke,2019-09-23,3965
440,121,851,Tiertza,Iston,2010-12-23,4073
441,634,104,Carin,Cordero,2016-05-22,5629
442,798,875,Cristiano,Bern,2008-12-23,5200
443,335,216,Natividad,Kupker,2010-07-20,4435
444,599,967,Odilia,Mewis,2006-05-05,5503
445,818,198,Millicent,Yardy,2003-04-06,7404
446,964,130,Blondelle,Messitt,2016-04-27,7637
447,696,385,Melissa,Prestige,2022-08-31,3563
448,864,929,Joellen,Flipsen,2020-06-20,5969
449,563,703,Tuck,Jeffry,2000-12-25,4597
450,352,677,Lorinda,Stockell,2001-03-20,6546
451,355,772,Hort,Brownstein,2006-10-20,4203
452,304,370,Gabriella,Cawthry,2001-12-16,7368
453,209,850,Rosamond,D'Elias,2016-04-01,7906
454,745,609,Sanders,Betham,2016-01-20,4115
455,302,690,Stillman,Delong,2011-12-19,4248
456,21,664,Minta,Hasson,2017-05-26,7911
457,456,473,Janot,Enever,2005-09-19,7360
458,213,947,Hewitt,Hibbart,2010-12-09,4110
459,257,484,Padget,Cote,2015-02-10,7932
460,756,28,Brear,Passman,2014-04-20,3966
461,334,923,Sheffie,Stennine,2018-07-03,5876
462,994,849,Minor,Whitebread,2006-08-02,5097
463,788,74,Thatch,Ruddiman,2014-04-23,3545
464,676,101,Amye,Rooney,2000-08-31,4351
465,871,909,Gray,Cubbon,2015-03-11,6364
466,51,513,Lydon,Baake,2018-01-01,4549
467,444,169,Shelley,Cuttin,2013-04-20,4079
468,600,662,Clovis,Rotherforth,2019-10-12,5356
469,985,715,Burke,Keitch,2021-12-21,4233
470,539,602,Aundrea,Spyer,2019-08-03,5265
471,510,784,Dina,Sidworth,2017-01-25,4881
472,634,311,Chicky,MacKean,2014-05-02,3871
473,677,924,Germana,Guillem,2003-07-22,7950
474,622,244,Dennis,Utridge,2019-05-15,7647
475,689,869,Rickey,Ternault,2013-11-13,6357
476,33,895,Candice,Branch,2018-03-06,4295
477,200,680,Kaleb,Lafond,2015-12-01,7378
478,855,387,Kore,Berrey,2005-05-03,3540
479,413,54,Kenneth,Patemore,2008-08-24,5257
480,693,849,Lezley,Marqyes,2010-06-05,3786
481,393,220,Jannel,Pymer,2003-02-01,7797
482,82,316,Aldous,Bastone,2006-05-23,7268
483,957,731,Erinna,Zambon,2005-11-03,3575
484,127,215,Waldon,Grewer,2007-04-10,7886
485,30,741,Aurlie,Hamman,2000-10-01,4546
486,843,533,Yale,Wilcott,2019-02-16,7973
487,971,378,Garwood,Trighton,2008-07-05,7652
488,412,173,Connie,Wassell,2017-03-02,4619
489,682,585,Marwin,Pigot,2019-01-01,4446
490,772,701,Delora,Sizey,2018-09-02,4610
491,623,472,Magdalena,Bogies,2022-06-12,4456
492,502,332,Mathilda,Peskin,2019-08-16,7149
493,954,462,Pattie,Mugg,2009-04-23,7211
494,487,784,Aryn,Cripps,2015-04-06,4875
495,718,617,Randolf,Romanini,2016-01-27,7633
496,317,150,Adiana,Goaley,2017-11-13,5569
497,229,641,Geri,Loxly,2021-05-23,6854
498,689,503,Filippo,Gadson,2020-01-17,5557
499,255,361,Kris,Barti,2009-08-21,3744
500,944,840,Sonny,Marion,2013-04-23,5910
501,137,608,Daryl,Stopp,2006-08-03,3911
502,836,462,Shel,Zelland,2006-12-11,3659
503,124,470,Lorenzo,Perris,2020-12-31,4110
504,105,162,Flori,Lethieulier,2011-06-10,7119
505,816,51,Anitra,Trencher,2011-05-04,6034
506,220,216,Onofredo,Meenehan,2012-09-02,4829
507,555,679,Saunders,Houdhury,2002-10-04,7371
508,652,132,Darcy,Mariault,2022-12-09,7676
509,572,515,Deeyn,Cawthra,2016-10-23,5446
510,667,510,Irina,Hayler,2014-05-30,5045
511,815,78,Kendrick,Dechelle,2006-11-06,6736
512,252,985,Minnnie,Rogge,2000-02-04,4733
513,205,896,Sacha,Sommerville,2001-11-16,7868
514,950,17,Gerrard,Bransdon,2014-02-13,6287
515,63,710,Winnie,Mattis,2018-02-15,6844
516,893,928,Gwen,Jolin,2012-07-22,5731
517,678,725,Lief,Inkle,2007-07-31,3624
518,457,515,Elga,Petrillo,2006-06-18,6402
519,586,24,Romy,Menico,2015-02-11,4700
520,232,281,Sharline,Creebo,2012-02-13,6695
521,373,119,Carmelia,Baterip,2017-12-22,3672
522,610,70,Norean,Dovydenas,2002-07-13,5686
523,273,901,Perry,Doley,2011-01-16,7098
524,820,171,Frayda,Iannello,2001-06-17,6785
525,933,583,Nolly,Fetherstan,2020-09-21,4287
526,178,120,Brande,Webermann,2006-04-01,5941
527,354,901,Dick,Spender,2019-01-07,4914
528,407,949,Gillan,Haps,2022-09-01,5238
529,486,810,Cos,Boij,2004-05-06,6129
